name,district,latitude,longitude,proj_area,nbr_buildings,nbr_floors,units,hospital,price_sqm,id,bld_age,dist_shop_1,dist_shop_2,dist_shop_3,dist_shop_4,dist_shop_5,dist_school_1,dist_school_2,dist_school_3,dist_school_4,dist_school_5,dist_food_1,dist_food_2,dist_food_3,dist_food_4,dist_food_5,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,tran_type1,tran_type2,tran_type3,tran_type4,tran_type5,tran_name1,tran_name2,tran_name3,tran_name4,tran_name5,dist_tran_1,dist_tran_2,dist_tran_3,dist_tran_4,dist_tran_5
Noble Ora,Watthana,13.736729,100.5835767,4160,2,21,1.0,0.55,119444,913,10,0.27,0.36,0.39,0.015,0.008,0.85,0.87,1.1,1.1,1.2,0.064,0.12,0.14,0.021,0.15,1,1,1,1,1,0,1,1,0,0,0,0,Thong Lo,Ekkamai,Phrom Phong,Ramkhamhaeng Toll Plaza,Rama 9-1 Toll Plaza Chalong Rat,Thong Lo,Ekkamai,Phrom Phong,Ramkhamhaeng Toll Plaza,Rama 9-1 Toll Plaza Chalong Rat,1.7,2.3,2.4,2.9,3.0
Noble Recole,Watthana,13.741957000000001,100.560358,2512,1,28,288.0,0.34,207975,914,1,1.888,0.47,0.019,0.55,0.96,0.18,0.22,0.36,0.65,1.0,0.25,0.27,0.34,0.006,0.36,1,1,1,1,1,1,1,1,0,0,0,0,Sukhumvit,Asok,Nana,Sukhumvit Toll Plaza,Asok 2 Toll Plaza,Sukhumvit,Asok,Nana,Sukhumvit Toll Plaza,Asok 2 Toll Plaza,0.59,0.7,0.91,1.6,1.7
Noble Remix,Watthana,13.7250313,100.5772609,8008,1,33,504.0,1.2,176471,915,11,0.001,0.65,0.86,0.87,1.0,0.27,0.47,0.49,0.52,0.53,0.062,0.074,0.074,0.14,0.19,1,1,1,1,1,0,1,1,1,1,1,0,Thong Lo,Ekkamai,Phrom Phong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,Thong Lo,Ekkamai,Phrom Phong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,0.19,1.1,1.1,2.7,2.9
Noble Reveal,Watthana,13.7220857,100.58461109999999,3324,1,27,273.0,1.0,170115,916,8,0.11,0.11,0.11,0.14,0.14,0.17,0.17,0.17,0.17,0.17,0.07,0.07,0.07,0.077,0.077,1,1,1,1,1,0,1,1,1,0,0,0,Ekkamai,Ekkamai,Ekkamai,Thong Lo,Thong Lo,Ekkamai,Ekkamai,Ekkamai,Thong Lo,Thong Lo,0.35,0.35,0.35,1.0,1.0
Noble Solo,Watthana,13.740407999999999,100.58481400000004,5420,1,24,572.0,0.62,137684,917,10,0.001,0.7,0.82,0.015,1.2,0.85,1.3,1.3,1.3,1.6,0.04,0.23,0.25,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,0,Thong Lo,Ramkhamhaeng Toll Plaza,Phrom Phong,Rama 9-1 Toll Plaza Chalong Rat,Ekkamai,Thong Lo,Ramkhamhaeng Toll Plaza,Phrom Phong,Rama 9-1 Toll Plaza Chalong Rat,Ekkamai,2.1,2.6,2.7,2.7,2.8
Nusasiri Grand,Watthana,13.719768499999999,100.5847055,7648,2,28,303.0,0.78,134615,918,12,0.09,0.11,0.13,0.17,0.5,0.25,0.34,0.37,0.44,0.45,0.077,0.078,0.09,0.095,0.1,1,1,1,1,1,0,1,1,0,0,0,1,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phra Khanong Toll Plaza,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phra Khanong Toll Plaza,0.072,0.82,0.9,1.9,2.5
Plus 67,Watthana,13.718471300000001,100.5905791,2400,1,9,121.0,0.94,78000,919,15,1.1,1.1,1.2,1.6,1.7,0.13,0.77,0.85,0.96,1.2,0.57,0.58,0.93,1.1,1.2,1,1,1,1,1,0,1,0,0,0,0,0,Phra Khanong,Ekkamai,Thong Lo,Phra Khanong Toll Plaza,At Narong Toll Plaza,Phra Khanong,Ekkamai,Thong Lo,Phra Khanong Toll Plaza,At Narong Toll Plaza,0.66,1.1,1.9,2.3,2.8
Q. House Condo Sukhumvit 79,Watthana,13.707413500000001,100.6002061,4692,1,27,484.0,1.8,158333,920,5,0.58,1.1,71.0,2.3,2.7,0.4,0.42,0.68,0.8,1.0,0.13,0.27,0.27,0.036,0.036,1,1,1,1,1,0,1,0,0,0,0,0,On Nut,Bang Chak,Phra Khanong,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,On Nut,Bang Chak,Phra Khanong,At Narong 2 Toll Plaza,At Narong 1 Toll Plaza,0.25,1.3,1.3,1.5,1.6
Quattro by Sansiri,Watthana,13.728012699999997,100.58158590000001,5628,2,36,446.0,1.3,252119,921,7,0.35,0.008,0.45,0.61,0.8,0.23,0.39,0.46,0.58,0.64,0.15,0.16,0.16,0.17,0.17,1,1,1,1,1,0,1,1,0,0,0,1,Thong Lo,Ekkamai,Phrom Phong,At Narong Toll Plaza,Phra Khanong Toll Plaza,Thong Lo,Ekkamai,Phrom Phong,At Narong Toll Plaza,Phra Khanong Toll Plaza,0.73,1.4,1.8,3.0,3.8
Rende Sukhumvit 23,Watthana,13.739003,100.56434,1000,1,8,50.0,0.52,151163,922,6,1.888,0.5,0.67,0.019,33.0,0.17,0.49,0.63,0.68,0.85,0.04,0.11,0.15,0.17,0.2,1,1,1,1,1,0,1,0,0,0,0,0,Sukhumvit,Asok,Nana,Asok 3 Toll Plaza,Asok 4 Toll Plaza,Sukhumvit,Asok,Nana,Asok 3 Toll Plaza,Asok 4 Toll Plaza,0.63,0.75,1.3,2.0,2.0
Royce Private Residences,Watthana,13.740294,100.566076,6024,2,39,161.0,1.0,184207,923,7,0.012,1.888,0.98,19.0,1.3,0.64,0.66,0.71,0.73,0.91,0.012,0.028,0.079,0.084,0.084,1,1,1,1,1,0,1,1,1,0,1,1,Asok,Sukhumvit,Phetchaburi,Asok 3 Toll Plaza,Asok 4 Toll Plaza,Asok,Sukhumvit,Phetchaburi,Asok 3 Toll Plaza,Asok 4 Toll Plaza,1.1,1.1,1.4,2.1,2.1
SOCIO Reference 61,Watthana,13.724686300000002,100.5834218,1164,1,8,99.0,1.3,126154,924,6,0.094,0.65,0.73,0.9,1.2,0.81,0.93,0.93,1.0,1.2,0.26,0.26,0.26,0.3,0.3,1,1,1,1,1,0,1,1,0,0,0,0,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phra Khanong Toll Plaza,Ekkamai,Thong Lo,Phra Khanong,At Narong Toll Plaza,Phra Khanong Toll Plaza,0.66,0.93,1.5,2.5,3.1
Siamese Exclusive Sukhumvit 31,Watthana,13.738238699999998,100.5664288,2800,1,21,192.0,0.94,184332,925,2,0.48,0.48,0.78,0.033,0.98,0.59,0.91,1.0,1.0,1.0,0.023,0.072,0.24,0.26,0.27,1,1,1,1,1,0,1,0,0,1,0,0,Asok,Sukhumvit,Phrom Phong,Sukhumvit Toll Plaza,Asok 4 Toll Plaza,Asok,Sukhumvit,Phrom Phong,Sukhumvit Toll Plaza,Asok 4 Toll Plaza,0.85,0.98,1.1,2.2,2.4
Siamese Gioia,Watthana,13.742982999999999,100.571046,3168,2,7,168.0,1.5,124000,926,7,0.2,0.44,0.85,1.3,1.5,0.31,0.42,0.79,0.93,0.95,0.063,0.13,0.13,0.13,0.13,1,1,1,1,1,1,1,1,1,1,1,1,Phetchaburi,Sukhumvit,Asok,Asok 3 Toll Plaza,Asok 4 Toll Plaza,Phetchaburi,Sukhumvit,Asok,Asok 3 Toll Plaza,Asok 4 Toll Plaza,1.7,1.9,1.9,2.4,2.4
Siamese Thirty Nine,Watthana,13.739308,100.57265600000001,9994,2,7,87.0,0.97,139706,927,6,0.41,0.62,0.68,0.039,0.77,0.48,0.83,0.87,1.2,1.3,0.26,0.32,0.36,0.41,0.41,1,1,1,1,1,0,1,0,0,0,0,0,Phrom Phong,Asok,Sukhumvit,Asok 3 Toll Plaza,Asok 4 Toll Plaza,Phrom Phong,Asok,Sukhumvit,Asok 3 Toll Plaza,Asok 4 Toll Plaza,1.2,2.1,2.3,2.6,2.6
Siri at Sukhumvit,Watthana,13.7229356,100.5802382,6212,1,34,460.0,1.4,210073,928,10,0.48,0.61,0.68,0.73,0.94,0.4,0.48,0.53,0.56,0.62,0.038,0.055,0.18,0.19,0.2,1,1,1,1,1,1,1,1,0,0,0,1,Thong Lo,Ekkamai,Phrom Phong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,Thong Lo,Ekkamai,Phrom Phong,At Narong Toll Plaza,Tha Ruea 2 Toll Plaza,0.22,0.67,1.4,2.3,3.3
Sky Walk Condominium,Watthana,13.7139911,100.59304399999999,1940,1,50,816.0,0.76,151923,929,6,0.31,0.77,0.071,1.2,1.6,0.33,0.76,0.85,0.86,0.97,0.17,0.17,0.2,0.28,0.39,1,1,1,1,1,1,1,0,1,0,0,1,Phra Khanong,Ekkamai,On Nut,Phra Khanong Toll Plaza,At Narong 2 Toll Plaza,Phra Khanong,Ekkamai,On Nut,Phra Khanong Toll Plaza,At Narong 2 Toll Plaza,0.23,1.1,1.3,1.4,2.0
Sukhumvit City Resort,Watthana,13.746866,100.55630100000008,2436,1,26,170.0,0.52,105882,930,13,0.52,0.55,0.64,0.69,0.83,0.9,1.1,1.1,1.1,1.2,0.15,0.003,0.22,0.24,0.3,1,1,1,1,1,0,1,1,1,0,0,1,Nana,Sukhumvit Toll Plaza,Phloen Chit,Phetchaburi Toll Plaza,Phetchaburi,Nana,Sukhumvit Toll Plaza,Phloen Chit,Phetchaburi Toll Plaza,Phetchaburi,0.92,1.1,1.2,1.3,1.9
Sukhumvit Living Town,Watthana,13.7461735,100.562763,7564,1,36,453.0,0.093,107646,931,9,0.35,1.888,1.2,19.0,9.0,0.39,0.45,0.45,0.73,0.77,0.043,0.045,0.099,0.12,0.12,1,1,1,1,1,1,1,1,1,1,1,1,Phetchaburi,Sukhumvit,Asok 4 Toll Plaza,Asok 2 Toll Plaza,Asok 1 Toll Plaza,Phetchaburi,Sukhumvit,Asok 4 Toll Plaza,Asok 2 Toll Plaza,Asok 1 Toll Plaza,0.28,0.9,0.98,0.98,1.0
