name,district,latitude,longitude,proj_area,nbr_buildings,nbr_floors,units,hospital,price_sqm,id,bld_age,dist_shop_1,dist_shop_2,dist_shop_3,dist_shop_4,dist_shop_5,dist_school_1,dist_school_2,dist_school_3,dist_school_4,dist_school_5,dist_food_1,dist_food_2,dist_food_3,dist_food_4,dist_food_5,Elevator,Parking,Security,CCTV,Pool,Sauna,Gym,Garden,Playground,Shop,Restaurant,Wifi,tran_type1,tran_type2,tran_type3,tran_type4,tran_type5,tran_name1,tran_name2,tran_name3,tran_name4,tran_name5,dist_tran_1,dist_tran_2,dist_tran_3,dist_tran_4,dist_tran_5
Rattanakosin View Mansion,Bang Phlat,13.763788126962194,100.4909622552948,34364,1,34,121.0,1.2,73836,122,27,1.1,1.1,1.2,1.2,2.4,0.18,0.43,0.6,0.98,1.0,0.16,0.31,0.49,0.53,0.56,1,1,1,1,1,0,1,1,1,0,0,1,Yommarat Toll Plaza,Uruphong Toll Plaza,Ratchathewi,National Stadium,Hua Lamphong,Yommarat Toll Plaza,Uruphong Toll Plaza,Ratchathewi,National Stadium,Hua Lamphong,4.0,4.4,5.1,5.3,5.3
Thana Arcadia,Bang Phlat,13.775357000000001,100.484759,2820,1,23,244.0,2.3,95280,123,6,0.55,0.79,0.92,1.3,1.4,0.68,0.79,0.97,1.1,1.2,0.15,0.49,0.55,0.6,0.62,1,1,1,1,1,1,1,1,0,1,0,0,Yommarat Toll Plaza,Uruphong Toll Plaza,Hua Lamphong,Ratchathewi,Khlong Prapa 2 Toll Plaza,Yommarat Toll Plaza,Uruphong Toll Plaza,Hua Lamphong,Ratchathewi,Khlong Prapa 2 Toll Plaza,5.5,5.9,6.5,6.6,6.8
Thana Tri,Bang Phlat,13.774061999999999,100.4848559,2660,2,8,76.0,2.4,79240,124,11,0.62,0.87,1.0,1.4,1.5,0.76,0.87,1.0,1.1,1.3,0.22,0.41,0.56,0.67,0.69,1,1,1,1,1,1,1,1,0,0,0,1,Yommarat Toll Plaza,Uruphong Toll Plaza,Hua Lamphong,Phaya Thai,Ratchathewi,Yommarat Toll Plaza,Uruphong Toll Plaza,Hua Lamphong,Phaya Thai,Ratchathewi,5.5,6.0,6.6,6.7,6.7
Thew River Place,Bang Phlat,13.776829600000001,100.49712120000001,9600,1,30,200.0,2.3,74967,125,10,1.8,2.1,2.2,2.6,2.7,0.15,0.24,0.32,0.62,0.71,0.89,1.1,1.1,1.1,1.2,1,1,1,1,1,0,1,1,0,0,1,1,Yommarat Toll Plaza,Uruphong Toll Plaza,Ratchathewi,Phaya Thai,Victory Monument,Yommarat Toll Plaza,Uruphong Toll Plaza,Ratchathewi,Phaya Thai,Victory Monument,4.0,4.3,5.2,5.3,5.7
Baan Siri Silom,Bang Rak,13.7208417,100.5213074,2172,1,25,137.0,0.55,125000,126,13,1.5,1.5,1.6,1.6,1.8,0.35,0.35,0.54,0.54,0.65,0.48,0.48,0.5,0.5,0.53,1,1,1,1,1,1,1,1,1,0,0,0,Surasak,Surasak,Sathon Toll Plaza,Sathon Toll Plaza,Saphan Taksin,Surasak,Surasak,Sathon Toll Plaza,Sathon Toll Plaza,Saphan Taksin,0.4,0.4,0.64,0.64,1.0
Collezio Sathorn-Pipat,Bang Rak,13.723304999999998,100.53184399999999,1300,1,8,95.0,0.64,146341,127,8,0.79,1.6,1.8,2.3,2.5,0.46,0.52,0.99,1.1,1.1,0.43,0.43,0.51,0.52,0.54,1,1,1,1,1,1,1,1,0,0,0,0,Chong Nonsi,Sala Daeng,Si Lom,Sathon Toll Plaza,Saphan Sawang Toll Plaza,Chong Nonsi,Sala Daeng,Si Lom,Sathon Toll Plaza,Saphan Sawang Toll Plaza,0.41,0.94,1.4,1.8,2.3
Condolette Light Convent,Bang Rak,13.725222899999999,100.5331073,1782,1,8,111.0,0.96,154695,128,6,1.1,1.7,1.7,2.1,2.2,0.56,0.78,1.1,1.1,1.1,0.43,0.51,0.57,0.63,0.74,1,1,1,1,1,0,1,1,0,0,0,0,Chong Nonsi,Sala Daeng,Si Lom,Sathon Toll Plaza,Saphan Sawang Toll Plaza,Chong Nonsi,Sala Daeng,Si Lom,Sathon Toll Plaza,Saphan Sawang Toll Plaza,0.5,0.71,1.1,2.1,2.3
Diamond Tower,Bang Rak,13.724639000000002,100.52955899999999,3516,1,23,100.0,0.79,79710,129,34,0.94,1.6,1.7,2.4,2.4,0.61,0.86,1.1,1.2,1.2,0.58,0.58,0.69,0.7,0.73,1,1,1,1,1,1,1,1,0,1,0,1,Chong Nonsi,Sala Daeng,Sam Yan,Sathon Toll Plaza,Surawong Toll Plaza,Chong Nonsi,Sala Daeng,Sam Yan,Sathon Toll Plaza,Surawong Toll Plaza,0.24,0.87,1.4,1.9,2.1
Focus on Saladaeng,Bang Rak,13.7268414,100.5371483,812,1,8,62.0,0.74,160443,130,8,1.3,1.7,1.8,1.8,1.9,0.7,0.7,0.79,0.91,0.94,0.56,0.57,0.6,0.61,0.64,1,1,1,1,1,0,1,0,0,0,0,0,Si Lom,Sala Daeng,Lumphini,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,Si Lom,Sala Daeng,Lumphini,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,0.72,0.75,1.0,1.9,2.0
Ivy Sathorn 10,Bang Rak,13.723707999999998,100.52671099999999,2136,1,29,300.0,0.35,130667,131,10,1.0,1.8,1.9,2.3,2.3,0.49,0.72,0.74,0.76,0.84,0.6,0.65,0.65,0.68,0.77,1,1,1,1,1,1,1,0,0,1,0,1,Chong Nonsi,Surasak,Sala Daeng,Sathon Toll Plaza,Surawong Toll Plaza,Chong Nonsi,Surasak,Sala Daeng,Sathon Toll Plaza,Surawong Toll Plaza,0.81,0.92,1.3,1.4,1.8
Jewelry Trade Center,Bang Rak,13.721682300000001,100.5194583,87238,1,56,629.0,0.82,194118,132,23,1.5,1.6,1.6,1.6,1.8,0.61,0.82,0.84,0.86,0.92,0.51,0.53,0.58,0.63,0.64,1,1,1,1,0,0,0,0,0,1,1,0,Surasak,Sathon Toll Plaza,Saphan Taksin,Surawong Toll Plaza,Chan Toll Plaza,Surasak,Sathon Toll Plaza,Saphan Taksin,Surawong Toll Plaza,Chan Toll Plaza,0.5,0.59,0.98,1.0,1.4
Klass Condo Silom,Bang Rak,13.725639000000001,100.53158499999999,1764,1,8,176.0,0.96,201111,133,5,1.1,1.4,1.5,2.3,2.5,0.73,0.79,1.0,1.3,1.4,0.73,0.74,0.75,0.75,0.79,1,1,1,1,1,1,1,1,0,0,0,0,Chong Nonsi,Sala Daeng,Si Lom,Saphan Sawang Toll Plaza,Sathon Toll Plaza,Chong Nonsi,Sala Daeng,Si Lom,Saphan Sawang Toll Plaza,Sathon Toll Plaza,0.47,0.66,1.2,2.0,2.1
Life @ Sathorn 10,Bang Rak,13.722662099999999,100.5274385,2228,1,27,286.0,0.21,138140,134,9,0.87,1.9,2.0,2.2,2.4,0.35,0.6,0.66,0.7,0.8,0.51,0.51,0.54,0.57,0.62,1,1,1,1,1,1,1,1,1,0,0,0,Chong Nonsi,Surasak,Sathon Toll Plaza,Sala Daeng,Surawong Toll Plaza,Chong Nonsi,Surasak,Sathon Toll Plaza,Sala Daeng,Surawong Toll Plaza,0.66,0.88,1.3,1.3,1.9
M Silom,Bang Rak,13.7271577,100.52744720000001,2112,1,53,161.0,0.98,207615,135,6,1.2,1.2,1.3,1.9,1.9,0.86,1.1,1.3,1.3,1.3,0.93,1.1,1.1,1.1,1.2,1,1,1,1,1,0,1,1,0,0,0,0,Chong Nonsi,Sala Daeng,Sam Yan,Surawong Toll Plaza,Saphan Sawang Toll Plaza,Chong Nonsi,Sala Daeng,Sam Yan,Surawong Toll Plaza,Saphan Sawang Toll Plaza,0.57,0.97,1.1,1.6,1.6
Noble Revo Silom,Bang Rak,13.719562,100.519452,2334,1,32,319.0,0.7,161882,136,3,1.3,1.6,1.7,1.7,1.7,0.53,0.65,0.67,0.7,0.76,0.32,0.34,0.39,0.44,0.45,1,1,1,1,1,1,1,1,0,0,0,0,Surasak,Sathon Toll Plaza,Saphan Taksin,Chan Toll Plaza,Surawong Toll Plaza,Surasak,Sathon Toll Plaza,Saphan Taksin,Chan Toll Plaza,Surawong Toll Plaza,0.31,0.4,0.79,1.2,1.2
Pabhada Silom,Bang Rak,13.722695499999999,100.5236127,1320,1,8,69.0,0.36,152209,137,12,1.4,2.0,2.0,2.0,2.1,0.47,0.56,0.65,0.68,0.87,0.54,0.7,0.71,0.74,0.76,1,1,1,1,1,1,1,0,0,0,0,0,Surasak,Sathon Toll Plaza,Chong Nonsi,Saphan Taksin,Surawong Toll Plaza,Surasak,Sathon Toll Plaza,Chong Nonsi,Saphan Taksin,Surawong Toll Plaza,0.63,1.1,1.2,1.5,1.5
Quad Silom,Bang Rak,13.723864,100.530176,1084,1,8,72.0,0.61,161723,138,9,0.75,1.7,1.8,2.4,2.5,0.43,0.77,0.95,1.1,1.1,0.39,0.39,0.51,0.51,0.54,1,1,1,1,1,0,1,1,0,0,0,0,Chong Nonsi,Sala Daeng,Si Lom,Sathon Toll Plaza,Surawong Toll Plaza,Chong Nonsi,Sala Daeng,Si Lom,Sathon Toll Plaza,Surawong Toll Plaza,0.15,0.96,1.5,1.7,2.1
Saladaeng Colonnade,Bang Rak,13.726697099999999,100.536753,4763,1,7,81.0,0.7,229055,139,21,1.3,1.6,1.8,1.8,1.9,0.65,0.65,0.74,0.88,1.0,0.52,0.53,0.55,0.57,0.6,1,1,1,1,1,1,1,0,0,0,1,1,Si Lom,Sala Daeng,Chong Nonsi,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,Si Lom,Sala Daeng,Chong Nonsi,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,0.66,0.72,1.1,2.0,2.1
Saladaeng Residences,Bang Rak,13.725248,100.538176,2336,1,25,132.0,0.97,247191,140,8,1.5,1.6,2.0,2.1,2.2,0.56,0.56,0.67,1.2,1.3,0.43,0.46,0.48,0.5,0.54,1,1,1,1,1,1,1,1,0,0,0,1,Lumphini,Si Lom,Sala Daeng,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,Lumphini,Si Lom,Sala Daeng,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,0.87,0.94,1.0,1.8,1.8
Siamese Surawong,Bang Rak,13.729847400000002,100.5277762,2447,1,20,206.0,1.3,155272,141,4,0.79,0.88,1.5,1.8,1.8,0.88,0.89,1.2,1.2,1.4,0.66,0.67,0.67,0.67,0.7,1,1,1,1,1,0,1,1,0,0,0,0,Sam Yan,Chong Nonsi,Sala Daeng,Saphan Sawang Toll Plaza,Surawong Toll Plaza,Sam Yan,Chong Nonsi,Sala Daeng,Saphan Sawang Toll Plaza,Surawong Toll Plaza,0.62,0.82,0.92,1.3,1.6
Silom Grand Terrace,Bang Rak,13.728048999999999,100.536114,2950,1,21,226.0,0.53,184480,142,14,1.1,1.6,1.6,1.7,1.7,0.71,0.81,0.81,0.85,0.88,0.36,0.68,0.72,0.72,0.73,1,1,1,1,1,0,1,1,1,1,0,0,Si Lom,Sala Daeng,Chong Nonsi,Rama 4-2 Toll Plaza,Saphan Sawang Toll Plaza,Si Lom,Sala Daeng,Chong Nonsi,Rama 4-2 Toll Plaza,Saphan Sawang Toll Plaza,0.5,0.56,1.1,2.1,2.1
Silom Suite,Bang Rak,13.721378,100.5278004,15478,1,37,281.0,0.061,120137,143,22,0.72,1.9,2.0,2.1,2.1,0.2,0.45,0.51,0.55,0.65,0.36,0.36,0.39,0.43,0.48,1,1,1,1,1,0,1,0,0,0,0,0,Chong Nonsi,Surasak,Sathon Toll Plaza,Sala Daeng,Chan Toll Plaza,Chong Nonsi,Surasak,Sathon Toll Plaza,Sala Daeng,Chan Toll Plaza,0.52,0.73,1.2,1.5,2.0
Silom Terrace,Bang Rak,13.727075,100.53459000000001,2004,1,8,155.0,0.73,161765,144,17,1.3,1.5,1.8,1.8,1.9,0.68,0.91,1.0,1.0,1.1,0.56,0.56,0.62,0.69,0.75,1,1,1,1,1,1,1,0,0,0,0,0,Sala Daeng,Si Lom,Chong Nonsi,Rama 4-2 Toll Plaza,Saphan Sawang Toll Plaza,Sala Daeng,Si Lom,Chong Nonsi,Rama 4-2 Toll Plaza,Saphan Sawang Toll Plaza,0.53,0.7,0.9,2.3,2.3
State Tower,Bang Rak,13.722195999999999,100.51683000000004,8612,1,68,1700.0,1.2,113217,145,18,1.2,1.2,1.2,1.4,1.5,0.75,0.82,0.84,0.91,0.93,0.57,0.7,0.85,0.87,0.9,1,1,1,1,1,0,1,0,0,1,1,0,Surawong Toll Plaza,Surasak,Sathon Toll Plaza,Saphan Taksin,Chong Nonsi,Surawong Toll Plaza,Surasak,Sathon Toll Plaza,Saphan Taksin,Chong Nonsi,0.7,0.84,0.94,1.3,1.6
Supalai Elite Surawong,Bang Rak,13.730497,100.5233933,3820,1,31,277.0,1.4,131633,146,0,0.98,0.98,1.1,1.1,1.2,0.97,0.97,1.1,1.1,1.3,0.84,0.84,0.85,0.85,0.01,1,1,1,1,1,1,1,1,0,0,0,0,Sam Yan,Sam Yan,Saphan Sawang Toll Plaza,Saphan Sawang Toll Plaza,Surawong Toll Plaza,Sam Yan,Sam Yan,Saphan Sawang Toll Plaza,Saphan Sawang Toll Plaza,Surawong Toll Plaza,0.9,0.9,0.93,0.93,1.1
Surawong City Resort,Bang Rak,13.728585800000001,100.52401040000001,1432,1,8,116.0,1.2,97020,147,8,1.1,1.2,1.4,1.4,1.4,1.2,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.0,1.1,1,1,1,1,0,0,1,1,0,0,0,0,Sam Yan,Chong Nonsi,Saphan Sawang Toll Plaza,Surawong Toll Plaza,Sala Daeng,Sam Yan,Chong Nonsi,Saphan Sawang Toll Plaza,Surawong Toll Plaza,Sala Daeng,0.98,1.0,1.1,1.2,1.4
The Address Sathorn,Bang Rak,13.722864800000002,100.525813,5524,1,40,562.0,0.46,200621,148,7,1.1,2.0,2.0,2.2,2.2,0.57,0.6,0.62,0.7,0.85,0.46,0.53,0.63,0.64,0.67,1,1,1,1,1,1,1,1,0,0,0,0,Surasak,Chong Nonsi,Sathon Toll Plaza,Sala Daeng,Surawong Toll Plaza,Surasak,Chong Nonsi,Sathon Toll Plaza,Sala Daeng,Surawong Toll Plaza,0.78,0.92,1.2,1.4,1.7
The Bangkok Thanon Sub,Bang Rak,13.731138,100.527487,5920,3,8,155.0,1.5,132626,149,14,0.69,0.79,1.7,29.0,1.8,0.79,1.0,1.1,1.4,1.4,0.57,0.57,0.57,0.57,0.6,1,1,1,1,1,0,1,0,0,0,0,0,Sam Yan,Chong Nonsi,Sala Daeng,Saphan Sawang Toll Plaza,Surawong Toll Plaza,Sam Yan,Chong Nonsi,Sala Daeng,Saphan Sawang Toll Plaza,Surawong Toll Plaza,0.52,1.0,1.1,1.2,1.6
The Infinity,Bang Rak,13.723399800000003,100.52940229999999,3200,1,40,108.0,0.47,232741,150,11,0.63,1.7,1.8,2.3,2.3,0.3,0.79,0.82,0.91,0.95,0.27,0.27,0.39,0.46,0.49,1,1,1,1,1,1,1,1,1,1,1,1,Chong Nonsi,Surasak,Sala Daeng,Sathon Toll Plaza,Surawong Toll Plaza,Chong Nonsi,Surasak,Sala Daeng,Sathon Toll Plaza,Surawong Toll Plaza,0.43,1.1,1.1,1.6,2.1
The Legend Saladaeng,Bang Rak,13.725467000000002,100.537481,4,1,14,75.0,0.85,226675,151,14,1.5,1.5,1.9,1.9,2.1,0.49,0.49,0.6,1.0,1.2,0.36,0.39,0.41,0.44,0.47,1,1,1,1,1,0,0,1,0,0,0,0,Si Lom,Sala Daeng,Lumphini,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,Si Lom,Sala Daeng,Lumphini,Rama 4-2 Toll Plaza,Rama 4-1 Toll Plaza,0.82,0.88,0.94,1.8,1.9
The Ritz-Carlton Residences at MahaNakhon,Bang Rak,13.7237823,100.5277883,14400,1,77,200.0,0.48,409091,152,4,0.69,1.7,1.8,2.4,2.4,0.36,0.85,0.88,0.93,0.96,0.33,0.33,0.45,0.52,0.55,1,1,1,1,1,1,1,1,1,1,1,1,Chong Nonsi,Sala Daeng,Surasak,Sathon Toll Plaza,Surawong Toll Plaza,Chong Nonsi,Sala Daeng,Surasak,Sathon Toll Plaza,Surawong Toll Plaza,0.22,1.1,1.1,1.6,1.9
The Room Charoenkrung 30,Bang Rak,13.7287051,100.5158296,3156,1,23,211.0,1.0,189035,153,2,0.41,0.41,0.41,0.41,0.41,0.55,0.55,0.69,0.69,1.2,0.47,0.47,0.49,0.49,0.51,1,1,1,1,1,1,1,1,0,0,0,1,Surawong Toll Plaza,Surawong Toll Plaza,Saphan Sawang Toll Plaza,Saphan Sawang Toll Plaza,Hua Lamphong,Surawong Toll Plaza,Surawong Toll Plaza,Saphan Sawang Toll Plaza,Saphan Sawang Toll Plaza,Hua Lamphong,0.39,0.39,1.1,1.1,1.1
The Royal Saladaeng,Bang Rak,13.7257927,100.5371959,2400,1,29,71.0,0.84,180766,154,13,1.4,1.4,1.6,1.6,1.9,0.62,0.62,0.62,0.62,0.71,0.48,0.48,0.52,0.52,0.54,1,1,1,1,1,1,1,1,1,0,0,1,Si Lom,Si Lom,Sala Daeng,Sala Daeng,Lumphini,Si Lom,Si Lom,Sala Daeng,Sala Daeng,Lumphini,0.82,0.82,0.85,0.85,0.94
The Surawong,Bang Rak,13.729089300000002,100.5288087,960,1,8,52.0,1.6,124894,155,9,1.1,1.2,1.3,1.3,1.3,1.1,1.2,1.5,1.6,1.6,0.96,0.97,10.0,1.0,1.1,1,1,1,1,1,0,1,1,0,0,0,1,Sam Yan,Saphan Sawang Toll Plaza,Surawong Toll Plaza,Chong Nonsi,Hua Lamphong Toll Plaza,Sam Yan,Saphan Sawang Toll Plaza,Surawong Toll Plaza,Chong Nonsi,Hua Lamphong Toll Plaza,1.0,1.1,1.1,1.4,1.7
The Treasure Silom,Bang Rak,13.723724599999999,100.52329509999998,1176,1,8,71.0,0.47,114000,156,10,1.5,1.8,1.8,1.8,2.0,0.58,0.67,0.76,0.79,0.98,0.65,0.81,0.82,0.85,0.87,1,1,1,1,1,1,1,1,0,0,0,0,Surasak,Chong Nonsi,Sathon Toll Plaza,Surawong Toll Plaza,Saphan Taksin,Surasak,Chong Nonsi,Sathon Toll Plaza,Surawong Toll Plaza,Saphan Taksin,0.74,1.0,1.2,1.3,1.6
Vertiq,Bang Rak,13.732215,100.52557900000001,2468,1,23,196.0,1.6,150112,157,6,0.67,0.67,1.4,1.4,1.6,0.77,0.87,1.1,1.3,1.4,0.54,0.55,0.55,0.55,0.55,1,1,1,1,1,0,1,1,0,0,0,0,Sam Yan,Saphan Sawang Toll Plaza,Sala Daeng,Chong Nonsi,Surawong Toll Plaza,Sam Yan,Saphan Sawang Toll Plaza,Sala Daeng,Chong Nonsi,Surawong Toll Plaza,0.5,1.0,1.2,1.2,1.3
Wish @ Samyan,Bang Rak,13.732131099999998,100.5266194,3372,1,24,465.0,1.4,141824,158,8,0.54,0.64,29.0,1.7,1.7,0.65,0.93,0.93,1.2,1.3,0.42,0.42,0.42,0.42,0.46,1,1,1,1,1,1,1,1,1,1,1,1,Sam Yan,Saphan Sawang Toll Plaza,Sala Daeng,Chong Nonsi,Surawong Toll Plaza,Sam Yan,Saphan Sawang Toll Plaza,Sala Daeng,Chong Nonsi,Surawong Toll Plaza,0.37,1.1,1.1,1.1,1.4
333 Riverside,Bang Sue,13.80675724963851,100.52066780539828,18198,3,42,950.0,0.57,153285,159,5,0.56,0.56,0.56,1.4,1.4,0.21,0.21,0.21,0.38,0.38,0.36,0.36,0.36,0.39,0.39,1,1,1,1,1,0,1,0,0,0,0,0,Bang Sue,Bang Sue,Bang Sue,Yan Phahon Yothin Toll Plaza,Yan Phahon Yothin Toll Plaza,Bang Sue,Bang Sue,Bang Sue,Yan Phahon Yothin Toll Plaza,Yan Phahon Yothin Toll Plaza,2.3,2.3,2.3,3.4,3.4
Aspire Ratchada - Wongsawang,Bang Sue,13.830744699999999,100.52541070000001,9186,2,27,1232.0,2.0,97837,160,3,0.67,0.67,0.67,1.5,1.5,0.64,0.64,0.64,0.69,0.69,0.38,0.38,0.38,0.67,0.67,1,1,1,1,0,1,1,0,1,1,0,1,Prachachuen 1 Toll Plaza,Prachachuen 1 Toll Plaza,Prachachuen 1 Toll Plaza,Prachachuen Toll Plaza-Outbound,Prachachuen Toll Plaza-Inbound,Prachachuen 1 Toll Plaza,Prachachuen 1 Toll Plaza,Prachachuen 1 Toll Plaza,Prachachuen Toll Plaza-Outbound,Prachachuen Toll Plaza-Inbound,2.6,2.6,2.6,2.6,2.6
Centric Scene Ratchavipha,Bang Sue,13.830676,100.532587,9948,2,21,714.0,1.0,84390,161,9,0.54,0.73,1.0,2.9,3.1,1.1,1.2,1.4,1.6,1.6,0.42,0.68,0.73,0.73,0.73,1,1,1,1,1,1,1,1,0,0,0,0,Prachachuen 1 Toll Plaza,Prachachuen Toll Plaza-Outbound,Prachachuen Toll Plaza-Inbound,Phahon Yothin,Bang Sue,Prachachuen 1 Toll Plaza,Prachachuen Toll Plaza-Outbound,Prachachuen Toll Plaza-Inbound,Phahon Yothin,Bang Sue,1.7,1.7,1.7,5.3,5.7
Chewathai Interchange,Bang Sue,13.806335999999998,100.5298214,2850,1,26,279.0,0.94,139505,162,4,0.068,0.068,0.17,0.17,0.42,0.64,0.64,0.64,0.64,0.68,0.13,0.13,0.39,0.39,0.44,1,1,1,1,1,0,1,1,0,0,0,0,Bang Sue,Bang Sue,Yan Phahon Yothin Toll Plaza,Yan Phahon Yothin Toll Plaza,Kamphaeng Phet,Bang Sue,Bang Sue,Yan Phahon Yothin Toll Plaza,Yan Phahon Yothin Toll Plaza,Kamphaeng Phet,1.1,1.1,2.2,2.2,2.8
Chewathai Residence Bang Pho,Bang Sue,13.8063499,100.52246240000001,2377,1,24,172.0,0.25,136235,163,2,0.17,0.17,0.17,1.0,1.0,0.19,0.19,0.19,0.34,0.34,0.17,0.17,0.17,0.17,0.17,1,1,1,1,1,1,1,1,0,0,0,0,Bang Sue,Bang Sue,Bang Sue,Yan Phahon Yothin Toll Plaza,Yan Phahon Yothin Toll Plaza,Bang Sue,Bang Sue,Bang Sue,Yan Phahon Yothin Toll Plaza,Yan Phahon Yothin Toll Plaza,1.9,1.9,1.9,3.1,3.1
Ideo Mobi Wongsawang - Interchange,Bang Sue,13.818788,100.532266,3622,1,30,559.0,2.1,135668,164,3,1.4,1.4,1.8,1.8,4.0,0.47,0.51,0.58,0.81,1.3,0.22,0.88,0.9,1.3,1.3,1,1,1,1,1,0,1,1,0,0,0,0,Ratchadaphisek Toll Plaza,Prachachuen 1 Toll Plaza,Bang Sue,Kamphaeng Phet,Chatuchak Park,Ratchadaphisek Toll Plaza,Prachachuen 1 Toll Plaza,Bang Sue,Kamphaeng Phet,Chatuchak Park,2.2,2.8,3.9,4.1,5.2
Lumpini Ville Prachachuen-Phongphet 2,Bang Sue,13.84561829117466,100.5425317896107,16000,2,32,1395.0,1.4,77481,165,6,1.1,1.0,1.2,1.5,2.0,0.43,0.51,0.69,0.82,2.2,0.18,0.23,0.33,0.4,0.56,1,1,1,1,1,0,1,1,1,1,0,0,Prachachuen 2 Toll Plaza,Prachachuen Toll Plaza-Inbound,Prachachuen Toll Plaza-Outbound,Bang Sue,Phahon Yothin,Prachachuen 2 Toll Plaza,Prachachuen Toll Plaza-Inbound,Prachachuen Toll Plaza-Outbound,Bang Sue,Phahon Yothin,1.8,1.8,2.1,5.3,5.5
Piboon Condoville,Bang Sue,13.8271051,100.5353468,5444,4,9,738.5,0.97,25443,166,12,0.54,0.54,0.54,0.54,1.1,0.44,0.44,0.44,0.44,0.77,0.71,0.71,0.71,0.71,0.91,1,1,1,1,0,0,0,0,0,1,0,0,Ratchadaphisek Toll Plaza,Ratchadaphisek Toll Plaza,Ratchadaphisek Toll Plaza,Ratchadaphisek Toll Plaza,Prachachuen 1 Toll Plaza,Ratchadaphisek Toll Plaza,Ratchadaphisek Toll Plaza,Ratchadaphisek Toll Plaza,Ratchadaphisek Toll Plaza,Prachachuen 1 Toll Plaza,1.2,1.2,1.2,1.2,1.6
Regent Home 20 Prachachuen 16,Bang Sue,13.816179,100.534624,7340,3,8,672.0,2.0,48515,167,6,1.4,1.4,1.5,2.0,5.9,0.59,0.69,0.8,0.002,0.94,0.36,0.84,0.91,1.3,1.5,1,1,1,1,1,0,1,0,0,0,0,0,Ratchadaphisek Toll Plaza,Yan Phahon Yothin Toll Plaza,Bang Sue,Kamphaeng Phet,Chatuchak Park,Ratchadaphisek Toll Plaza,Yan Phahon Yothin Toll Plaza,Bang Sue,Kamphaeng Phet,Chatuchak Park,2.1,3.4,3.7,3.9,5.0
Rich Park 2 @Taopoon Interchange,Bang Sue,13.806394699999998,100.5288936,64,1,26,734.0,0.69,100000,168,5,0.33,0.35,0.6,2.9,3.4,0.42,0.81,0.81,0.92,1.0,0.14,0.33,0.52,0.52,0.52,1,1,1,1,1,0,1,0,1,1,1,1,Yan Phahon Yothin Toll Plaza,Bang Sue,Kamphaeng Phet,Khlong Prapa 1 Toll Plaza,Saphan Khwai,Yan Phahon Yothin Toll Plaza,Bang Sue,Kamphaeng Phet,Khlong Prapa 1 Toll Plaza,Saphan Khwai,2.4,2.7,2.9,3.2,3.7
Richpark @ Bangson Station,Bang Sue,13.82274,100.532386,6072,1,27,820.0,1.8,84385,169,5,1.1,1.4,1.8,2.2,3.7,0.54,0.76,0.93,1.0,1.2,0.24,0.94,0.95,0.99,1.1,1,1,1,1,1,0,1,1,0,1,0,0,Ratchadaphisek Toll Plaza,Prachachuen 1 Toll Plaza,Prachachuen Toll Plaza-Outbound,Bang Sue,Chatuchak Park,Ratchadaphisek Toll Plaza,Prachachuen 1 Toll Plaza,Prachachuen Toll Plaza-Outbound,Bang Sue,Chatuchak Park,2.0,2.4,2.4,4.4,5.7
Supalai Veranda Ratchavipha - Prachachuen,Bang Sue,13.818338,100.535975,19020,1,29,1705.0,1.7,79714,170,2,1.4,1.6,1.7,2.1,5.6,0.61,0.88,0.9,0.002,0.99,0.35,0.83,1.2,1.5,1.5,1,1,1,1,1,0,1,1,1,0,0,1,Ratchadaphisek Toll Plaza,Prachachuen 1 Toll Plaza,Bang Sue,Mo Chit,Chatuchak Park,Ratchadaphisek Toll Plaza,Prachachuen 1 Toll Plaza,Bang Sue,Mo Chit,Chatuchak Park,1.8,2.4,3.7,4.9,5.0
Taopoon Mansion,Bang Sue,13.801889000000001,100.53589599999998,20737,3,15,1600.0,1.9,33368,171,27,0.89,0.89,1.1,2.9,2.9,0.55,0.57,0.57,0.61,0.89,0.028,0.061,0.65,0.69,0.92,1,1,1,1,1,0,1,0,0,1,0,0,Yan Phahon Yothin Toll Plaza,Bang Sue,Kamphaeng Phet,Khlong Prapa 1 Toll Plaza,Saphan Khwai,Yan Phahon Yothin Toll Plaza,Bang Sue,Kamphaeng Phet,Khlong Prapa 1 Toll Plaza,Saphan Khwai,1.3,1.6,1.8,2.1,2.7
The Parkland Ratchada - Wongsawang,Bang Sue,13.829043400000002,100.5274525,7212,1,33,743.0,1.7,83333,172,4,0.4,1.3,2.8,3.3,3.5,0.79,0.98,1.0,1.2,1.5,0.19,0.39,0.39,0.39,0.39,1,1,1,1,1,1,1,1,0,0,0,0,Prachachuen 1 Toll Plaza,Prachachuen Toll Plaza-Outbound,Prachachuen Toll Plaza-Inbound,Bang Sue,Phahon Yothin,Prachachuen 1 Toll Plaza,Prachachuen Toll Plaza-Outbound,Prachachuen Toll Plaza-Inbound,Bang Sue,Phahon Yothin,2.3,2.4,2.4,3.9,5.9
